Namespace(batch_size=1024, dataset='arxiv', decode_channels=256, decode_layers=3, device=0, dropout=0.5, epochs=400, eval_steps=1, feature_type='ogb', hidden_channels=128, log_steps=1, lr=0.001, mask_ratio=0.8, mask_type='dm', num_layers=2, patience=50, runs=3, seed=42, use_sage='GCN', use_valedges_as_input=False)
loading ogb dataset...
Loading OGB features...
### Input graph arxiv is directed
Start training with mask ratio=0.8 # optimization edges=833616 / 1042020
Run: 01, Epoch: 01, Best_epoch: 01, Best_valid: 99.47%, Loss: 0.5292, 
***************
Run: 01, Epoch: 02, Best_epoch: 02, Best_valid: 99.60%, Loss: 0.4323, 
***************
Run: 01, Epoch: 03, Best_epoch: 03, Best_valid: 99.68%, Loss: 0.4135, 
***************
Run: 01, Epoch: 04, Best_epoch: 04, Best_valid: 99.71%, Loss: 0.4016, 
***************
Run: 01, Epoch: 05, Best_epoch: 05, Best_valid: 99.71%, Loss: 0.3958, 
***************
Run: 01, Epoch: 06, Best_epoch: 06, Best_valid: 99.72%, Loss: 0.3928, 
***************
Run: 01, Epoch: 07, Best_epoch: 07, Best_valid: 99.75%, Loss: 0.3865, 
***************
Run: 01, Epoch: 08, Best_epoch: 07, Best_valid: 99.75%, Loss: 0.3849, 
***************
Run: 01, Epoch: 09, Best_epoch: 07, Best_valid: 99.75%, Loss: 0.3833, 
***************
Run: 01, Epoch: 10, Best_epoch: 10, Best_valid: 99.77%, Loss: 0.3804, 
***************
Run: 01, Epoch: 11, Best_epoch: 11, Best_valid: 99.78%, Loss: 0.3795, 
***************
Run: 01, Epoch: 12, Best_epoch: 12, Best_valid: 99.79%, Loss: 0.3789, 
***************
Run: 01, Epoch: 13, Best_epoch: 12, Best_valid: 99.79%, Loss: 0.3760, 
***************
Run: 01, Epoch: 14, Best_epoch: 12, Best_valid: 99.79%, Loss: 0.3752, 
***************
Run: 01, Epoch: 15, Best_epoch: 15, Best_valid: 99.79%, Loss: 0.3745, 
***************
